,지체,지체,시각,시각,청각,청각,언어,언어,지적,뇌병변,뇌병변,자폐성,정신,정신,신장,신장,심장,심장,호흡기,호흡기,간,간,안면,안면,장루.요루,장루.요루,뇌전증,뇌전증
,심한 장애,심하지 않은 장애,심한 장애,심하지 않은 장애,심한 장애,심하지 않은 장애,심한 장애,심하지 않은 장애,심한 장애,심한 장애,심하지 않은 장애,심한 장애,심한 장애,심하지 않은 장애,심한 장애,심하지 않은 장애,심한 장애,심하지 않은 장애,심한 장애,심하지 않은 장애,심한 장애,심하지 않은 장애,심한 장애,심하지 않은 장애,심한 장애,심하지 않은 장애,심한 장애,심하지 않은 장애
합계,"25,727 ","130,406 ","8,415 ","31,810 ","11,029 ","55,203 ","1,310 ","1,910 ","28,114 ","19,979 ","17,483 ","8,965 ","15,771 ",543 ,"14,211 ","5,012 ",640 ,247 ,"1,857 ",123 ,114 ,"2,704 ",162 ,233 ,175 ,"2,984 ",291 ,898 
종로구,365 ,"1,932 ",164 ,488 ,169 ,778 ,15 ,26 ,381 ,269 ,256 ,121 ,246 ,7 ,200 ,70 ,8 ,5 ,26 ,0 ,1 ,37 ,4 ,4 ,2 ,34 ,4 ,10 
중구,344 ,"1,904 ",164 ,467 ,170 ,732 ,15 ,13 ,304 ,244 ,265 ,91 ,209 ,5 ,173 ,67 ,14 ,2 ,29 ,1 ,2 ,37 ,6 ,3 ,1 ,39 ,4 ,12 
용산구,431 ,"2,300 ",162 ,660 ,204 ,919 ,24 ,29 ,513 ,325 ,347 ,152 ,240 ,8 ,256 ,96 ,11 ,4 ,44 ,2 ,4 ,62 ,2 ,2 ,3 ,55 ,4 ,12 
성동구,642 ,"3,910 ",187 ,908 ,280 ,"1,509 ",31 ,54 ,699 ,522 ,509 ,270 ,390 ,8 ,377 ,122 ,25 ,5 ,68 ,1 ,2 ,85 ,4 ,6 ,2 ,92 ,7 ,28 
광진구,745 ,"4,314 ",223 ,"1,074 ",310 ,"1,662 ",33 ,54 ,813 ,559 ,538 ,240 ,482 ,14 ,482 ,152 ,24 ,7 ,52 ,3 ,3 ,69 ,4 ,6 ,2 ,114 ,12 ,32 
동대문구,969 ,"5,647 ",257 ,"1,208 ",389 ,"2,211 ",53 ,78 ,946 ,742 ,695 ,248 ,594 ,29 ,547 ,196 ,24 ,7 ,71 ,4 ,9 ,114 ,4 ,13 ,6 ,124 ,9 ,29 
중랑구,"1,437 ","7,460 ",394 ,"1,698 ",545 ,"2,218 ",80 ,95 ,"1,385 ","1,065 ",916 ,334 ,839 ,40 ,797 ,230 ,31 ,10 ,126 ,4 ,9 ,100 ,4 ,13 ,9 ,159 ,10 ,58 
성북구,"1,040 ","6,055 ",367 ,"1,477 ",422 ,"2,259 ",72 ,90 ,"1,182 ",849 ,802 ,344 ,588 ,18 ,641 ,232 ,21 ,12 ,75 ,14 ,3 ,129 ,6 ,11 ,8 ,139 ,13 ,32 
강북구,"1,149 ","5,811 ",453 ,"1,423 ",528 ,"2,336 ",60 ,95 ,"1,234 ",830 ,702 ,233 ,699 ,29 ,652 ,166 ,18 ,9 ,85 ,4 ,4 ,94 ,3 ,5 ,10 ,129 ,6 ,43 
도봉구,862 ,"5,330 ",329 ,"1,247 ",428 ,"2,026 ",41 ,73 ,"1,155 ",759 ,769 ,249 ,678 ,26 ,554 ,187 ,25 ,8 ,50 ,10 ,5 ,99 ,7 ,10 ,3 ,137 ,10 ,28 
노원구,"2,269 ","8,226 ",680 ,"1,974 ",778 ,"3,007 ",93 ,132 ,"2,344 ","1,506 ","1,078 ",486 ,"1,390 ",36 ,860 ,292 ,70 ,12 ,117 ,5 ,6 ,121 ,17 ,15 ,15 ,179 ,22 ,77 
은평구,"1,180 ","7,177 ",418 ,"1,847 ",585 ,"2,790 ",79 ,91 ,"1,883 ","1,150 ",956 ,491 ,"1,081 ",33 ,749 ,211 ,30 ,14 ,112 ,6 ,7 ,159 ,7 ,18 ,15 ,169 ,9 ,57 
서대문구,694 ,"4,181 ",219 ,"1,033 ",340 ,"1,542 ",35 ,61 ,840 ,620 ,560 ,242 ,467 ,21 ,488 ,164 ,18 ,5 ,38 ,3 ,3 ,111 ,7 ,4 ,8 ,105 ,7 ,31 
마포구,855 ,"4,110 ",324 ,"1,100 ",376 ,"1,599 ",35 ,73 ,867 ,677 ,574 ,312 ,468 ,15 ,480 ,184 ,15 ,9 ,49 ,4 ,7 ,87 ,5 ,10 ,10 ,104 ,14 ,25 
양천구,"1,133 ","5,926 ",295 ,"1,406 ",531 ,"3,025 ",61 ,86 ,"1,224 ",881 ,734 ,386 ,603 ,25 ,565 ,225 ,28 ,24 ,81 ,8 ,4 ,135 ,9 ,7 ,12 ,128 ,11 ,35 
강서구,"2,350 ","8,674 ",668 ,"2,061 ",920 ,"4,137 ",85 ,150 ,"2,085 ","1,550 ","1,116 ",525 ,"1,509 ",29 ,"1,034 ",336 ,43 ,10 ,165 ,9 ,10 ,153 ,12 ,16 ,7 ,180 ,29 ,83 
구로구,"1,138 ","6,415 ",374 ,"1,466 ",574 ,"3,688 ",68 ,108 ,"1,310 ",883 ,772 ,407 ,643 ,26 ,716 ,159 ,36 ,13 ,89 ,5 ,3 ,104 ,11 ,20 ,5 ,141 ,14 ,40 
금천구,748 ,"4,089 ",194 ,960 ,368 ,"2,156 ",32 ,50 ,832 ,529 ,538 ,183 ,461 ,10 ,437 ,118 ,28 ,6 ,49 ,2 ,3 ,55 ,8 ,5 ,4 ,85 ,11 ,32 
영등포구,891 ,"4,894 ",266 ,"1,218 ",393 ,"2,782 ",51 ,71 ,894 ,680 ,701 ,299 ,442 ,21 ,609 ,169 ,31 ,10 ,65 ,3 ,3 ,98 ,6 ,10 ,6 ,132 ,7 ,26 
동작구,839 ,"4,708 ",336 ,"1,116 ",504 ,"2,177 ",51 ,80 ,902 ,749 ,676 ,316 ,514 ,18 ,471 ,210 ,17 ,11 ,66 ,4 ,3 ,106 ,3 ,8 ,6 ,106 ,4 ,37 
관악구,"1,145 ","6,774 ",501 ,"1,663 ",605 ,"3,225 ",60 ,90 ,"1,411 ",903 ,879 ,348 ,809 ,33 ,787 ,257 ,29 ,7 ,75 ,4 ,7 ,126 ,7 ,10 ,2 ,154 ,11 ,37 
서초구,723 ,"3,064 ",275 ,861 ,254 ,"1,325 ",31 ,42 ,747 ,638 ,515 ,401 ,339 ,10 ,370 ,211 ,14 ,12 ,57 ,3 ,0 ,134 ,2 ,4 ,8 ,95 ,15 ,15 
강남구,"1,286 ","4,470 ",438 ,"1,148 ",413 ,"1,937 ",55 ,70 ,"1,045 ",914 ,729 ,768 ,792 ,24 ,551 ,325 ,21 ,14 ,78 ,8 ,3 ,149 ,11 ,12 ,10 ,104 ,22 ,37 
송파구,"1,219 ","6,582 ",359 ,"1,666 ",483 ,"2,719 ",80 ,87 ,"1,578 ","1,115 ",989 ,880 ,641 ,28 ,771 ,364 ,31 ,18 ,100 ,9 ,9 ,203 ,7 ,9 ,10 ,159 ,18 ,39 
강동구,"1,273 ","6,453 ",368 ,"1,641 ",460 ,"2,444 ",70 ,112 ,"1,540 ","1,020 ",867 ,639 ,647 ,30 ,644 ,269 ,28 ,13 ,90 ,7 ,4 ,137 ,6 ,12 ,11 ,121 ,18 ,43 
